State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
American Samoa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Dakota,110657,101489,9168,106,14521,1528,N/A,N/A,5,200,13.9,0.7,5-7.9%,< 3%,< 3%,218451.12,1664733,543.26,4140,3535.54,26943,15,1
Rhode Island,152514,0,0,131,14397,2728,N/A,N/A,4,257,12.4,0.4,5-7.9%,< 3%,< 3%,352417.45,3733373,2651.03,28084,12941.67,137099,13,1
South Dakota,124492,0,0,95,14072,2030,1652,378,3,229,10.7,0.3,10-14.9%,3-4.9%,3-4.9%,73814.09,653003,417.56,3694,2052.88,18161,14,1
Utah,413317,413317,0,2187,12892,2351,2281,70,15,73,68.2,0.5,10-14.9%,5-7.9%,5-7.9%,133412.57,4277151,1054.41,33804,5002.78,160387,309,4
Tennessee,866738,713334,153404,711,12692,12550,10109,2441,34,183,10.4,0.5,10-14.9%,3-4.9%,< 3%,104972.55,7168758,229.71,15687,1922.25,131274,68,7
Arizona,892236,824189,68047,3436,12258,17903,15941,1962,83,245,47.2,1.1,10-14.9%,3-4.9%,5-7.9%,110864.59,8069520,901.56,65622,4063.48,295769,587,28
Iowa,373441,0,0,470,11836,6125,N/A,N/A,15,194,14.9,0.5,10-14.9%,3-4.9%,< 3%,114875.9,3624415,650.29,20517,3335.33,105232,13,1
Wisconsin,677252,612507,64745,579,11632,8099,7280,819,53,139,9.9,0.9,8-9.9%,< 3%,< 3%,167236.79,9737252,1070.21,62312,5284.35,307678,66,7
Nebraska,224226,0,0,240,11592,2259,N/A,N/A,2,116,12.4,0.1,10-14.9%,3-4.9%,3-4.9%,107160.07,2072913,402.14,7779,2032.56,39318,0,0
South Carolina,596493,493538,102955,874,11585,9808,N/A,N/A,4,190,17,0.1,10-14.9%,< 3%,< 3%,126258.23,6500675,850.68,43799,4246.5,218640,0,0
Oklahoma,457107,360494,96613,1419,11552,7386,6295,1091,24,186,35.9,0.6,20-24.9%,3-4.9%,5-7.9%,60125.56,2379151,340.89,13489,1589.25,62886,197,1
New Jersey,1022443,892308,130135,1674,11511,26428,23730,2698,61,297,18.9,0.7,5-7.9%,< 3%,< 3%,164177.22,14582533,1744.61,154960,8080.47,717723,349,12
Arkansas,347254,0,0,2090,11507,5893,N/A,N/A,23,195,69.3,0.8,8-9.9%,5-7.9%,5-7.9%,93999.11,2836709,508.05,15332,1874.28,56562,302,3
New York City,954748,787109,167639,1029,11368,33390,28305,5085,22,397,12.3,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Delaware,109636,102033,7603,88,11259,1693,1548,145,10,173,9,1,5-7.9%,< 3%,< 3%,221693.14,2158768,1360.7,13250,7480.25,72840,16,0
Alabama,550115,423436,126679,1200,11220,11336,9028,2308,27,231,24.5,0.6,10-14.9%,5-7.9%,5-7.9%,96087.93,4711369,447.2,21927,2460.07,120622,184,2
Indiana,752699,0,0,1554,11180,13822,13399,423,58,205,23.1,0.9,10-14.9%,3-4.9%,< 3%,130847.59,8808946,720.3,48492,3812.37,256657,304,3
Illinois,1390432,1390432,0,1744,10973,25637,23199,2438,71,202,13.8,0.6,5-7.9%,< 3%,< 3%,167623.29,21240923,1787.8,226547,8186.54,1037384,292,7
Idaho,194690,155853,38837,624,10894,2145,1869,276,23,120,34.9,1.3,10-14.9%,3-4.9%,3-4.9%,92460.1,1652322,833.94,14903,3989.39,71293,81,2
Kansas,317304,255807,61497,765,10892,5147,N/A,N/A,18,176,26.3,0.6,10-14.9%,3-4.9%,3-4.9%,107372.67,3128103,667.52,19447,2586.78,75361,144,8
Florida,2321929,0,0,9823,10811,37772,N/A,N/A,208,175,45.7,1,8-9.9%,3-4.9%,3-4.9%,144015.04,30931172,1380.31,296460,6856.16,1472548,0,0
Mississippi,320837,196323,124514,833,10780,7395,5095,2300,12,248,28,0.4,10-14.9%,3-4.9%,3-4.9%,48553.85,1445035,352.07,10478,1463.43,43554,0,0
Nevada,331614,0,0,2739,10766,5667,N/A,N/A,21,183,88.9,0.7,10-14.9%,5-7.9%,5-7.9%,113508.31,3496233,770.06,23719,3493.33,107600,804,3
Minnesota,604971,0,0,679,10727,7665,7153,512,40,135,12,0.7,5-7.9%,< 3%,< 3%,224170.53,12642393,1722.13,97122,9232.06,520654,92,11
Wyoming,61951,52096,9855,461,10704,740,740,0,6,127,79.7,1,5-7.9%,3-4.9%,3-4.9%,140432.55,812766,1038.95,6013,5034.91,29140,104,0
Georgia,1132661,902142,230519,2257,10668,21369,18445,2924,92,201,21.3,0.9,10-14.9%,< 3%,< 3%,81701.63,8674608,625.36,66397,3119.87,331250,332,2
Montana,113529,101305,12224,362,10622,1662,1662,0,11,155,33.9,1,10-14.9%,5-7.9%,3-4.9%,116537.67,1245529,790.06,8444,4112.64,43955,58,1
New York,1156796,0,0,915,10464,19919,N/A,N/A,30,180,8.3,0.3,5-7.9%,< 3%,< 3%,242889.3,47250619,2511.44,488564,12857.18,2501179,141,3
Kentucky,464388,349039,115349,959,10394,7204,6455,749,8,161,21.5,0.2,10-14.9%,3-4.9%,< 3%,103829.6,4638767,751.62,33580,4173.18,186444,189,4
Louisiana,479521,0,0,2068,10315,10723,9705,1018,35,230,44.5,0.8,8-9.9%,3-4.9%,3-4.9%,147190.67,6842591,889.31,41342,4861.69,226010,210,6
Massachusetts,709682,663538,46144,427,10296,17987,17623,364,26,260,6.2,0.4,3-4.9%,< 3%,< 3%,339885,23426584,2693.69,185663,13527.1,932356,60,1
