Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1
United States,16635574.53,16712368.14,16861212.75,16967738.8,17193377.02,17233689.1,17260320.61,17407341.15,17448200.46,17548159.83,17643559.01,17750814.69,17648848.84,17739870.24,17643923.83,17262144.69,17068245.4,17043802.77,17105821.36,17293701.21,17360279.99,17520251.47,17649396.06,17738046.16,17695362.78,17821953.66,17817028.66,18023514.08,18164697.57,18242768.03,18267393.06,18288187.53,18450165.49,18472966.44,18617615.68,18766277.89,18713197.27,18966561.45,19198036.71,19306204.43,19489341.68,19621222.38,19692361.35,19723917.87,19835733.74,19897569.92,20005920.04,20131781.3,20245603.65,20332064.86,20480362.25,20676085.62,20868708.06,21008249.89,21118606.5,21187921.39,21341508.6,21420673.51,21557114.4,21683522.88,21409729.05,19485693.52,20943130.37,21165850.07,21494731
California,2203696.917,2222811.859,2253970.179,2274050.521,2328981.843,2321475.849,2333495.093,2346721.088,2336632.646,2352875.52,2372135.271,2407420.681,2368225.397,2411933.931,2404114.182,2318941.672,2309601.416,2274774.572,2263913.81,2272361.069,2295530.695,2301878.207,2308080.909,2356375.099,2348386.405,2355289.022,2347252.058,2363301.851,2395087.682,2399166.502,2412754.522,2447002.125,2446881.45,2470364.831,2506446.697,2570356.249,2551579.198,2587395.578,2639599.641,2650967.239,2704981.43,2748279.668,2756992.413,2764281.191,2807555.295,2812334.03,2850226.023,2872599.193,2908053.547,2940635.834,2973411.201,3012172.054,3017433.49,3043064.889,3058994.007,3077940.003,3105453.934,3142887.361,3155099.685,3206169.402,3171221.883,2884956.327,3087569.879,3116145.751,3164343.4
Texas,1167918.601,1163346.009,1166942.921,1179073.395,1222585.83,1239419.958,1252569.8,1278490.862,1288043.793,1317022.958,1323401.287,1332502.784,1313178.486,1309290.327,1310615.505,1331104.794,1317357.893,1303101.309,1308853.455,1319600.502,1332473.659,1337410.31,1348856.353,1357550.102,1365428.358,1382393.547,1386106.958,1415377.371,1435662.786,1450050.432,1455802.578,1483442.002,1496475.346,1512275.544,1528920.361,1535153.065,1522440.095,1555263.732,1586194.258,1607761.164,1649074.677,1633230.792,1651259.037,1657579.116,1655438.444,1653501.645,1659137.292,1666884.486,1682189.563,1696693.707,1711765.786,1729109.598,1750021.196,1768384.376,1774820.954,1790431.841,1809319.267,1810382.321,1831745.354,1835094.705,1805780.605,1657622.803,1768981.434,1801076.951,1820226.5
New York,1376124.289,1390163.463,1405391.055,1420539.419,1442057.702,1431203.487,1421363.388,1436765.281,1482226.219,1436765.281,1429349.555,1415658.983,1432027.456,1412648.325,1415199.462,1381559.319,1403220.212,1464447.491,1481449.786,1499909.874,1518053.051,1539238.576,1515913.899,1499561.272,1530539.359,1514456.106,1509924.274,1530016.455,1554117.566,1578519.742,1593985.017,1611621.136,1572799.492,1582544.517,1589326.42,1603555.741,1593604.724,1604870.923,1621461.234,1633995.079,1633630.631,1652217.484,1653802.041,1632442.214,1674401.28,1678029.916,1665971.438,1675779.845,1702907.459,1689866.556,1700245.403,1731350.255,1745975.716,1758557.098,1766147.125,1755641.513,1776510.127,1787094.967,1785035.043,1790755.294,1762518.49,1574526.659,1682070.536,1697519.966,1724932.8
Florida,920131.933,927741.7787,947238.6668,945795.113,962877.1671,965265.2686,965728.6316,975147.3751,965283.0903,967885.0516,973267.1907,968152.3764,951293.0928,945162.4443,930789.2813,898835.0579,886502.4742,877226.3039,873715.4383,883802.4938,878411.4438,886609.4041,893702.4219,896019.2367,881806.4687,889148.9896,881325.284,887749.9899,890129.1805,887616.3275,894709.3453,891875.7025,903450.866,903352.8469,911078.5333,918385.411,917440.8634,929425.9249,940457.528,949983.2014,959303.9258,973195.9041,981500.7943,991347.2575,992024.4803,1004143.204,1017233.208,1024985.627,1034511.3,1039724.134,1046763.687,1060842.792,1077158.516,1079617.904,1091415.838,1094436.608,1108052.351,1110787.974,1119012.667,1128467.054,1116161.203,1020503.481,1096726.69,1105031.581,1123895.8
Illinois,790543.2618,790601.3814,795508.3391,795383.797,811474.6329,812786.476,811873.1675,816813.3364,816414.8017,819744.2265,820723.9575,827515.6518,813193.3135,817103.9346,813500.5172,789372.5663,782614.0832,784033.8628,786541.3099,795408.7055,787720.3082,796031.4158,805571.3386,807962.5464,807480.9837,813093.6798,812122.2516,823115.1653,833369.1293,834697.578,829865.3456,823189.8905,830878.2878,825522.9787,826884.6387,833427.2489,832107.1029,846338.1105,854823.577,856932.4895,856558.8632,860369.8507,865359.8364,862237.9818,858111.4877,858800.6206,856235.0539,865401.3504,861133.7087,863890.2399,869253.8519,872317.5869,884215.5062,884506.1044,888275.5778,888707.3237,890791.3277,886432.3551,892485.0999,892144.6849,877747.6212,803669.9963,865401.3504,872873.8748,886565.2
Pennsylvania,647765.1017,651670.7851,658146.9367,660481.7786,652620.4303,657254.4131,661638.4892,664287.4994,668664.4354,673334.1191,684479.9544,694169.1911,693933.5648,704543.8859,697532.2202,681631.0189,669478.4169,668478.7904,671506.2306,687693.0395,681195.4674,690120.7038,699260.146,702923.063,692584.0691,701380.7821,705022.2786,713590.5056,712762.2437,715596.8988,716889.273,710834.3926,720373.6853,723922.3593,726114.3974,730862.6232,729534.548,740016.3457,749027.2645,752918.6676,758123.8655,759666.1463,760551.5298,764364.3908,766927.7187,768120.1303,773782.3003,773061.1412,770090.8225,771361.7762,778901.8159,780458.3772,783442.9763,788034.1179,792875.1662,795738.382,803592.5901,806905.6379,811989.4526,814759.846,802664.3655,723593.9106,780651.1623,787812.772,799437
Ohio,610148.2391,614061.9153,618721.6361,618379.1894,613144.6474,613957.9583,612074.5016,610197.16,611878.8178,611780.9759,613279.1801,612698.2437,611774.8608,614159.7572,605219.4531,579719.4064,577542.424,569176.9411,570045.288,574662.2029,577872.6404,584874.4518,593154.3231,597067.9993,598352.1743,603011.8951,607286.3633,617957.2462,610490.6857,613921.2676,612851.1217,608784.5675,618972.3559,618030.6276,623515.8894,629893.9587,631600.0769,643726.3581,653424.937,655412.3507,652966.3031,655815.9486,654391.1258,659521.7107,656017.7475,660445.0937,663141.8612,666156.615,666664.1699,668890.0732,671580.7256,673366.3404,679028.9407,683768.158,688672.4835,689699.8235,692995.8727,692745.1528,697521.0609,700119.9865,690048.3853,624347.5456,675304.8332,683535.7835,694139.4
New Jersey,585474.0374,587504.6937,592856.0702,593501.1022,597938.6834,604926.53,601307.1838,604484.5636,598105.9139,605207.2383,605177.3757,613126.7978,619457.6673,618812.6353,613646.4069,597580.3323,586483.393,582714.7339,587498.7212,592139.368,594635.8807,592605.2244,595119.6547,592079.6428,582087.6195,586489.3655,585706.9656,594283.5021,598500.1001,596218.5981,600918.9701,593375.6793,609674.6821,604424.8384,603809.669,604765.272,599378.0603,602489.7424,604436.7834,605010.1452,612499.6833,615760.6784,617176.1653,615832.3486,621303.1755,619475.5849,621315.1206,622599.212,615115.6464,619887.6886,624271.5172,626696.3597,625866.1796,629963.3273,632609.1529,635900.0106,636801.8609,637536.4806,641561.9581,643974.8555,638617.5065,572011.9809,619027.646,626320.091,634902.6
Georgia,507625.0871,509940.6629,511243.4923,517131.6705,515182.5156,515513.3121,517589.6965,521549.0765,513090.8637,517375.951,521742.4652,525411.7621,513004.3476,514627.7952,509961.0196,492271.039,487365.072,487807.8304,487054.6322,488952.8953,489278.6027,490825.7126,495416.1506,501110.9401,500479.8821,500423.9011,502474.8396,507024.5642,507910.0811,509487.7261,509889.7711,508383.3746,514943.3242,513874.597,515895.0004,519554.1189,524220.8946,532114.2087,537753.0172,540587.689,548251.9902,555371.7493,558211.5103,561137.7873,569707.962,571870.8624,575606.3186,581652.2613,589774.5884,591011.2585,596533.016,606614.6764,611352.7005,615836.2658,622248.6293,622971.2925,624157.0708,626050.2448,629775.5227,632320.1114,625826.321,577051.645,619373.2441,626462.4682,637215.9
